match_no,date,season,competition,stage,home_or_away,home_team,away_team,win_or_loss,goals,assists,mins_played,abs_rating,shots,shots_on_target,key_passes,motm,final_remarks,Name,Team
m_357,2011-11-26,11/12,La Liga,,A,Getafe,Barcelona,loss,0,0,90,6.97,6.0,1.0,0.0,No,,Messi,Barcelona
m_356,2011-11-23,11/12,Champs League,Group,A,AC Milan,Barcelona,win,1,1,90,8.82,4.0,2.0,4.0,Yes,"1 pen goal, 1 left foot goal",Messi,Barcelona
m_355,2011-11-19,11/12,La Liga,,H,Barcelona,Real Zaragoza,win,1,0,90,10.0,6.0,3.0,3.0,Yes,"1 inside box goal, 1 right foot goal",Messi,Barcelona
m_354,2011-11-15,11/12,World Cup Qualifier,,A,Colombia,Argentina,win,1,0,90,,,,,,"1 inside box goal, 1 left foot goal",Messi,Argentina
m_353,2011-11-11,11/12,World Cup Qualifier,,H,Argentina,Bolivia,draw,0,0,90,,,,,,,Messi,Argentina
m_352,2011-11-06,11/12,La Liga,,A,Athletic Bilbao,Barcelona,draw,1,0,90,9.09,4.0,2.0,4.0,Yes,"1 inside box goal, 1 left foot goal",Messi,Barcelona
m_351,2011-11-01,11/12,Champs League,Group,A,Viktoria Plzen,Barcelona,win,3,0,90,10.0,8.0,7.0,4.0,Yes,"1 pen goal, 2 inside box goal, 3 left foot goal",Messi,Barcelona
m_350,2011-10-29,11/12,La Liga,,H,Barcelona,Mallorca,win,3,1,90,10.0,8.0,4.0,2.0,Yes,"1 pen goal, 2 inside box goal, 2 left foot goal, 1 right foot goal",Messi,Barcelona
m_349,2011-10-25,11/12,La Liga,,A,Granada,Barcelona,win,0,0,90,7.22,4.0,1.0,4.0,No,,Messi,Barcelona
m_348,2011-10-22,11/12,La Liga,,H,Barcelona,Sevilla,draw,0,0,90,7.96,8.0,2.0,3.0,No,1 pen missed,Messi,Barcelona
m_347,2011-10-19,11/12,Champs League,Group,H,Barcelona,Viktoria Plzen,win,0,2,90,9.02,7.0,2.0,4.0,Yes,,Messi,Barcelona
m_346,2011-10-15,11/12,La Liga,,H,Barcelona,Racing Santander,win,2,0,90,10.0,7.0,4.0,4.0,Yes,"2 inside box goal, 2 right foot goal",Messi,Barcelona
m_345,2011-10-12,11/12,World Cup Qualifier,,A,Venezuela,Argentina,loss,0,0,90,,,,,,,Messi,Argentina
m_344,2011-10-07,11/12,World Cup Qualifier,,H,Argentina,Chile,win,1,1,90,,,,,,"1 inside box goal, 1 left foot goal",Messi,Argentina
m_343,2011-10-02,11/12,La Liga,,A,Sporting Gijon,Barcelona,win,0,0,90,7.84,5.0,2.0,1.0,No,,Messi,Barcelona
m_342,2011-09-28,11/12,Champs League,Group,A,BATE Borisov,Barcelona,win,2,0,90,10.0,11.0,3.0,4.0,Yes,"2 inside box goal, 1 left foot goal, 1 header goal",Messi,Barcelona
m_341,2011-09-24,11/12,La Liga,,H,Barcelona,Atletico Madrid,win,3,0,90,10.0,7.0,5.0,1.0,Yes,"3 inside box goal, 3 left foot goal",Messi,Barcelona
m_340,2011-09-21,11/12,La Liga,,A,Valencia,Barcelona,draw,0,2,90,8.21,2.0,1.0,4.0,Yes,,Messi,Barcelona
m_339,2011-09-17,11/12,La Liga,,H,Barcelona,Osasuna,win,3,2,90,10.0,8.0,6.0,4.0,Yes,"3 inside box goal, 3 left foot goal",Messi,Barcelona
m_338,2011-09-13,11/12,Champs League,Group,H,Barcelona,AC Milan,draw,0,1,90,8.38,8.0,3.0,3.0,Yes,,Messi,Barcelona
