match_no,date,season,competition,stage,home_or_away,home_team,away_team,win_or_loss,goals,assists,mins_played,abs_rating,shots,shots_on_target,key_passes,motm,final_remarks,Name,Team
r_573,2012-09-24,12/13,La Liga,,A,Rayo Vallecano,Real Madrid,win,1,0,90,7.72,6.0,2.0,2.0,No,"1 pen goal, 1 right foot goal",Ronaldo,Real Madrid
r_572,2012-09-18,12/13,Champs League,Group,H,Real Madrid,Manchester City,win,1,0,90,9.45,10.0,3.0,3.0,Yes,"1 inside box goal, 1 right foot goal",Ronaldo,Real Madrid
r_571,2012-09-15,12/13,La Liga,,A,Sevilla,Real Madrid,loss,0,0,90,6.83,7.0,3.0,0.0,No,,Ronaldo,Real Madrid
r_570,2012-09-11,12/13,World Cup Qualifier,,H,Portugal,Azerbaijan,win,0,1,90,,,,,,,Ronaldo,Portugal
r_569,2012-09-07,12/13,World Cup Qualifier,,A,Luxembourg,Portugal,win,1,0,90,,,,,,"1 inside box goal, 1 right foot goal",Ronaldo,Portugal
r_568,2012-09-02,12/13,La Liga,,H,Real Madrid,Granada,win,2,0,64,9.07,8.0,4.0,0.0,Yes,"2 inside box goal, 2 left foot goal",Ronaldo,Real Madrid
r_567,2012-08-29,12/13,Supercopa de Espana,Final,H,Real Madrid,Barcelona,win,1,0,90,,,,,,"1 inside box goal, 1 right foot goal",Ronaldo,Real Madrid
r_566,2012-08-26,12/13,La Liga,,A,Getafe,Real Madrid,loss,0,0,90,6.43,6.0,3.0,1.0,No,,Ronaldo,Real Madrid
r_565,2012-08-23,12/13,Supercopa de Espana,Final,A,Barcelona,Real Madrid,loss,1,0,90,,,,,,"1 inside box goal, 1 header goal",Ronaldo,Real Madrid
r_564,2012-08-19,12/13,La Liga,,H,Real Madrid,Valencia,draw,0,0,90,6.44,5.0,0.0,4.0,No,,Ronaldo,Real Madrid
r_563,2012-08-15,12/13,International Friendly,,H,Portugal,Panama,win,1,0,61,,,,,,"1 outside box goal, 1 right foot goal",Ronaldo,Portugal
r_562,2012-06-27,11/12,UEFA Euros,SF,N,Portugal,Spain,loss,0,0,120,6.67,7.0,0.0,2.0,No,,Ronaldo,Portugal
r_561,2012-06-21,11/12,UEFA Euros,QF,N,Portugal,Czech Republic,win,1,0,90,8.23,8.0,1.0,1.0,No,"1 inside box goal, 1 header goal",Ronaldo,Portugal
r_560,2012-06-17,11/12,UEFA Euros,Group,N,Portugal,Netherlands,win,2,0,90,9.35,12.0,4.0,3.0,Yes,"2 inside box goal, 2 right foot goal",Ronaldo,Portugal
r_559,2012-06-13,11/12,UEFA Euros,Group,N,Portugal,Denmark,win,0,0,90,6.41,6.0,2.0,1.0,No,,Ronaldo,Portugal
r_558,2012-06-09,11/12,UEFA Euros,Group,N,Portugal,Germany,loss,0,0,90,6.87,4.0,2.0,3.0,No,,Ronaldo,Portugal
r_557,2012-06-02,11/12,International Friendly,,H,Portugal,Turkey,loss,0,1,90,,,,,,1 pen missed,Ronaldo,Portugal
r_556,2012-05-26,11/12,International Friendly,,H,Portugal,North Macedonia,draw,0,0,73,,,,,,,Ronaldo,Portugal
r_555,2012-05-13,11/12,La Liga,,H,Real Madrid,Mallorca,win,1,0,90,8.52,9.0,3.0,2.0,No,"1 inside box goal, 1 header goal",Ronaldo,Real Madrid
r_554,2012-05-05,11/12,La Liga,,A,Granada,Real Madrid,win,1,0,90,7.89,6.0,2.0,1.0,Yes,"1 pen goal, 1 right foot goal",Ronaldo,Real Madrid
r_553,2012-05-02,11/12,La Liga,,A,Athletic Bilbao,Real Madrid,win,1,1,90,8.09,10.0,6.0,1.0,No,"1 inside box goal, 1 header goal, 1 pen missed",Ronaldo,Real Madrid
r_552,2012-04-29,11/12,La Liga,,H,Real Madrid,Sevilla,win,1,0,90,8.61,5.0,2.0,0.0,No,"1 inside box goal, 1 right foot goal",Ronaldo,Real Madrid
r_551,2012-04-25,11/12,Champs League,SF,H,Real Madrid,Bayern Munich,loss,2,0,120,7.91,10.0,4.0,1.0,No,"1 pen goal, 1 inside box goal, 2 right foot goal",Ronaldo,Real Madrid
r_550,2012-04-21,11/12,La Liga,,A,Barcelona,Real Madrid,win,1,0,90,7.5,6.0,2.0,0.0,No,"1 inside box goal, 1 right foot goal",Ronaldo,Real Madrid
r_549,2012-04-17,11/12,Champs League,SF,A,Bayern Munich,Real Madrid,loss,0,1,90,7.58,5.0,2.0,2.0,No,,Ronaldo,Real Madrid
r_548,2012-04-14,11/12,La Liga,,H,Real Madrid,Sporting Gijon,win,1,0,90,8.06,7.0,1.0,4.0,Yes,"1 inside box goal, 1 header goal",Ronaldo,Real Madrid
r_547,2012-04-11,11/12,La Liga,,A,Atletico Madrid,Real Madrid,win,3,1,90,10.0,11.0,6.0,1.0,Yes,"1 pen goal, 1 free kick goal, 1 outside box goal, 3 right foot goal",Ronaldo,Real Madrid
r_546,2012-04-08,11/12,La Liga,,H,Real Madrid,Valencia,draw,0,0,90,7.01,10.0,2.0,2.0,No,,Ronaldo,Real Madrid
r_545,2012-04-04,11/12,Champs League,QF,H,Real Madrid,APOEL,win,2,0,90,9.55,6.0,4.0,5.0,Yes,"1 free kick goal, 1 inside box goal, 2 right foot goal",Ronaldo,Real Madrid
r_544,2012-03-31,11/12,La Liga,,A,Osasuna,Real Madrid,win,2,2,90,10.0,4.0,3.0,4.0,Yes,"1 free kick goal, 1 outside box goal, 2 right foot goal",Ronaldo,Real Madrid
r_543,2012-03-27,11/12,Champs League,QF,A,APOEL,Real Madrid,win,0,0,90,8.34,10.0,2.0,3.0,No,,Ronaldo,Real Madrid
r_542,2012-03-24,11/12,La Liga,,H,Real Madrid,Real Sociedad,win,2,0,81,8.44,7.0,3.0,1.0,No,"2 inside box goal, 2 right foot goal",Ronaldo,Real Madrid
r_541,2012-03-21,11/12,La Liga,,A,Villarreal,Real Madrid,draw,1,0,90,8.28,10.0,3.0,0.0,No,"1 inside box goal, 1 right foot goal",Ronaldo,Real Madrid
r_540,2012-03-18,11/12,La Liga,,H,Real Madrid,Malaga,draw,0,1,90,7.06,3.0,2.0,2.0,No,,Ronaldo,Real Madrid
r_539,2012-03-14,11/12,Champs League,R16,H,Real Madrid,CSKA Moscow,win,2,0,90,8.94,7.0,4.0,1.0,Yes,"1 inside box goal, 1 outside box goal, 2 right foot goal",Ronaldo,Real Madrid
r_538,2012-03-10,11/12,La Liga,,A,Real Betis,Real Madrid,win,2,0,90,8.84,10.0,6.0,0.0,Yes,"2 inside box goal, 2 left foot goal",Ronaldo,Real Madrid
r_537,2012-03-04,11/12,La Liga,,H,Real Madrid,Espanyol,win,1,0,90,8.83,9.0,3.0,4.0,No,"1 inside box goal, 1 left foot goal",Ronaldo,Real Madrid
r_536,2012-02-29,11/12,International Friendly,,A,Poland,Portugal,draw,0,0,76,,,,,,,Ronaldo,Portugal
r_535,2012-02-26,11/12,La Liga,,A,Rayo Vallecano,Real Madrid,win,1,0,90,8.27,7.0,3.0,0.0,Yes,"1 inside box goal, 1 right foot goal",Ronaldo,Real Madrid
r_534,2012-02-21,11/12,Champs League,R16,A,CSKA Moscow,Real Madrid,draw,1,0,90,7.79,6.0,2.0,2.0,No,"1 inside box goal, 1 left foot goal",Ronaldo,Real Madrid
r_533,2012-02-18,11/12,La Liga,,H,Real Madrid,Racing Santander,win,1,0,90,8.43,8.0,2.0,2.0,No,"1 inside box goal, 1 header goal",Ronaldo,Real Madrid
r_532,2012-02-12,11/12,La Liga,,H,Real Madrid,Levante,win,3,1,90,9.08,11.0,4.0,2.0,Yes,"1 pen goal, 1 inside box goal, 1 outside box goal, 2 right foot goal, 1 header goal",Ronaldo,Real Madrid
r_531,2012-02-04,11/12,La Liga,,A,Getafe,Real Madrid,win,0,0,90,6.96,4.0,2.0,2.0,No,,Ronaldo,Real Madrid
r_530,2012-01-28,11/12,La Liga,,H,Real Madrid,Real Zaragoza,win,1,0,90,7.59,6.0,1.0,2.0,No,"1 inside box goal, 1 right foot goal",Ronaldo,Real Madrid
r_529,2012-01-25,11/12,Copa del Rey,QF,A,Barcelona,Real Madrid,draw,1,0,90,,,,,,"1 inside box goal, 1 right foot goal",Ronaldo,Real Madrid
r_528,2012-01-22,11/12,La Liga,,H,Real Madrid,Athletic Bilbao,win,2,0,90,7.86,6.0,2.0,2.0,No,"2 pen goal, 2 right foot goal",Ronaldo,Real Madrid
r_527,2012-01-18,11/12,Copa del Rey,QF,H,Real Madrid,Barcelona,loss,1,0,90,,,,,,"1 inside box goal, 1 left foot goal",Ronaldo,Real Madrid
r_526,2012-01-14,11/12,La Liga,,A,Mallorca,Real Madrid,win,0,0,90,7.46,3.0,2.0,0.0,No,,Ronaldo,Real Madrid
